feature,importance
students_roll_3d_mean,0.22204224385221882
has_special_condition,0.193849443910812
menu_historical_avg,0.1397167240587518
is_festival,0.08108317732461891
menu_historical_std,0.06860160410771937
is_normal_day,0.05926459444205171
special_conditions_count,0.056787550265878034
students_roll_3d_std,0.030520123267284736
day_of_week_num,0.020088774921896518
temp_x_rainy,0.01978085249383022
students_lag_1,0.015965639770244115
students_roll_7d_min,0.014446360168346613
students_same_day_last_week,0.014362026141268993
students_lag_7,0.009736582796309796
dow_sin,0.008073108186791767
menu_popularity,0.006990531012184773
waste_lag_7,0.005289063964020446
waste_lag_14,0.004448451262218539
students_roll_7d_max,0.0037710161447476807
students_roll_7d_std,0.0032965685168079616
students_lag_14,0.0032709506960960488
waste_lag_1,0.0024350718222502566
students_roll_7d_mean,0.002105302082765238
students_roll_14d_std,0.001855864254441542
students_roll_14d_mean,0.0013946321638113972
day_cos,0.0010719377277066194
temp_deviation,0.0010422424455774233
temperature_c,0.0010038930289659018
week_of_year,0.0009933765258230774
menu_count_last_7days,0.0009845608447439254
day_sin,0.0009392546414054025
day,0.0009004926642244844
weekend_x_exam,0.0006954634726702724
is_unpopular_menu,0.0006593730479795696
is_start_semester,0.00052322805493212
month_cos,0.0005197339406365945
weather_encoded,0.00034649258586116064
dow_cos,0.0003060153169514663
meal_encoded,0.0002410311931386532
popularity_x_weekend,0.0002068314560757625
is_end_semester,0.00010340401600120061
month_sin,8.59663277874334e-05
is_exam_period,6.270313784291263e-05
month,4.87660580560249e-05
is_friday,4.7097971298210854e-05
is_monsoon,3.470995347233912e-05
weekend_x_festival,7.167961482237367e-06
is_monday,0.0
exam_x_festival,0.0
is_weekend,0.0
is_popular_menu,0.0
rainy_x_weekend,0.0
year,0.0
