date,year,month,day,day_of_week,week_of_year,meal_type,menu_item,menu_popularity,weather,temperature_c,is_exam_period,is_festival,is_weekend,is_start_semester,is_end_semester,is_monsoon,total_capacity,students_attended,attendance_rate,food_prepared_kg,food_consumed_kg,food_wasted_kg,waste_percentage,cost_per_kg_rs,total_cost_rs,waste_cost_rs,staff_count,serving_duration_mins,student_satisfaction
2024-01-01,2024,1,1,Monday,1,Breakfast,Idli-Sambar,3.9,Cloudy,29.5,False,False,False,True,False,False,800,425,53.86,163.62,126.81,36.82,22.5,99.25,16240.12,3654.01,9,53,4.11
2024-01-01,2024,1,1,Monday,1,Lunch,Rice-Dal-Sabzi,3.4,Cloudy,29.5,False,False,False,True,False,False,800,498,59.35,191.73,159.95,31.78,16.58,142.45,27312.43,4527.16,8,82,3.62
2024-01-01,2024,1,1,Monday,1,Dinner,Roti-Dal,3.3,Cloudy,29.5,False,False,False,True,False,False,800,459,51.3,176.72,137.03,39.68,22.46,95.3,16841.76,3782.05,12,83,3.37
2024-01-02,2024,1,2,Tuesday,1,Breakfast,Poha,3.7,Sunny,27.3,False,False,False,True,False,False,800,422,53.94,162.47,135.14,27.33,16.82,118.15,19195.16,3228.48,9,73,3.91
2024-01-02,2024,1,2,Tuesday,1,Lunch,Roti-Paneer,4.0,Sunny,27.3,False,False,False,True,False,False,800,623,69.28,239.85,202.99,36.86,15.37,80.45,19297.51,2965.8,9,89,4.04
2024-01-02,2024,1,2,Tuesday,1,Dinner,Rice-Rajma,3.8,Sunny,27.3,False,False,False,True,False,False,800,499,58.91,192.11,153.31,38.81,20.2,95.07,18264.75,3689.69,10,51,3.75
2024-01-03,2024,1,3,Wednesday,1,Breakfast,Upma,3.5,Sunny,26.6,False,False,False,True,False,False,800,421,50.54,162.09,137.74,24.35,15.02,122.26,19816.65,2977.01,8,74,3.74
2024-01-03,2024,1,3,Wednesday,1,Lunch,Rice-Sambar,3.6,Sunny,26.6,False,False,False,True,False,False,800,481,62.6,185.19,159.48,25.71,13.88,106.5,19721.72,2737.53,12,63,3.94
2024-01-03,2024,1,3,Wednesday,1,Dinner,Paratha-Paneer,4.1,Sunny,26.6,False,False,False,True,False,False,800,466,60.65,179.41,148.72,30.69,17.1,140.32,25174.72,4305.98,12,57,4.24
2024-01-04,2024,1,4,Thursday,1,Breakfast,Dosa,4.6,Sunny,28.7,False,False,False,True,False,False,800,406,60.04,156.31,124.02,32.29,20.66,100.26,15671.2,3236.96,8,59,4.66
2024-01-04,2024,1,4,Thursday,1,Lunch,Biryani,4.8,Sunny,28.7,False,False,False,True,False,False,800,518,75.29,199.43,161.0,38.43,19.27,111.74,22284.05,4294.49,10,55,4.58
2024-01-04,2024,1,4,Thursday,1,Dinner,Rice-Curd-Pickle,3.2,Sunny,28.7,False,False,False,True,False,False,800,378,49.56,145.53,115.23,30.3,20.82,98.69,14362.13,2990.58,8,83,3.58
2024-01-05,2024,1,5,Friday,1,Breakfast,Paratha-Curry,3.7,Sunny,25.0,False,False,False,True,False,False,800,368,44.95,141.68,112.63,29.05,20.5,112.36,15918.91,3263.65,10,85,3.95
2024-01-05,2024,1,5,Friday,1,Lunch,Chole-Bhature,4.5,Sunny,25.0,False,False,False,True,False,False,800,466,62.98,179.41,142.22,37.19,20.73,102.7,18425.37,3819.72,8,59,4.57
2024-01-05,2024,1,5,Friday,1,Dinner,Noodles,4.2,Sunny,25.0,False,False,False,True,False,False,800,374,52.8,143.99,121.8,22.19,15.41,108.08,15562.66,2398.0,8,58,4.4
